id,montadora,modelo,categoria,ano,motor,potencia_cv,cambio,consumo,preco_a_partir_rs,preco_obs,cores,itens,desc,imagem_arquivo,imagens_extras,foto_referencia
1,Toyota,Corolla,Sedan,2026,2.0 Flex (ou Híbrido 1.8),175 (2.0) / 122 (híbrido),Automático CVT,~11–14 km/l (híbrido mais econômico),160000,referência,"Branco, Prata, Preto, Cinza, Vermelho","Porta-malas 470 L, multimídia, pacote de assistências (TSS)","Sedan médio Toyota. Versões 2.0 flex de 175 cv e híbrida 1.8 com 122 cv combinados, câmbio CVT. Porta-malas de 470 L.",imagens/toyota_corolla.jpg,imagens/toyota_corolla_02.jpg;imagens/toyota_corolla_03.jpg;imagens/toyota_corolla_04.jpg,https://commons.wikimedia.org/wiki/Category:Toyota_Corolla
2,Toyota,Corolla Cross,SUV,2026,2.0 Flex (ou Híbrido 1.8),175 (2.0) / 122 (híbrido),Automático CVT,~10–14 km/l (híbrido mais econômico),170790,R$ 170.790 a R$ 215.990,"Branco, Prata, Preto, Cinza, Azul","Porta-malas 440 L, TSS, versões XR/XRE/XRX Hybrid","SUV médio derivado do Corolla. Motor 2.0 flex de 175 cv ou híbrido 1.8 de 122 cv, CVT. Porta-malas de 440 L. Preço de R$ 170.790 a R$ 215.990.",imagens/toyota_corolla_cross.jpg,imagens/toyota_corolla_cross_02.jpg;imagens/toyota_corolla_cross_03.jpg;imagens/toyota_corolla_cross_04.jpg,https://commons.wikimedia.org/wiki/Category:Toyota_Corolla_Cross
3,Toyota,Hilux,Picape,2026,2.8 Turbodiesel,204 (GR-S 224),Automático 6 / 4x4,"~9 km/l cidade, ~10 km/l estrada",242590,R$ 242.590 a R$ 334.890,"Branco, Prata, Preto, Cinza, Vermelho","Tração 4x4, reboque até 3.500 kg, versões SR/SRV/SRX/GR-S","Picape média cabine dupla. Motor 2.8 turbodiesel de 204 cv (224 cv na GR-S), automático de 6 marchas e tração 4x4. Reboque de até 3.500 kg. Preço de R$ 242.590 a R$ 334.890.",imagens/toyota_hilux.jpg,imagens/toyota_hilux_02.jpg;imagens/toyota_hilux_03.jpg;imagens/toyota_hilux_04.jpg,https://commons.wikimedia.org/wiki/Category:Toyota_HiLux
4,Volkswagen,Polo,Hatch,2026,1.0 MPI / 1.0 TSI / 1.4 TSI turbo,84 / 116 / 150,Manual 5 ou Automático 6,~11–14 km/l,107990,a partir de ~R$ 107.990,"Branco, Prata, Preto, Cinza, Vermelho, Azul","Multimídia VW Play, versões Sense/TSI/GTS","Hatch compacto. Motores 1.0 MPI (84 cv), 1.0 TSI turbo (116 cv) e 1.4 TSI turbo (150 cv), câmbio manual ou automático de 6 marchas. A partir de ~R$ 107.990.",imagens/volkswagen_polo.jpg,imagens/volkswagen_polo_02.jpg;imagens/volkswagen_polo_03.jpg;imagens/volkswagen_polo_04.jpg,https://commons.wikimedia.org/wiki/Category:Volkswagen_Polo_VI
5,Volkswagen,Virtus,Sedan,2026,1.0 TSI / 1.4 TSI turbo,116 / 150,Automático 6,~11–14 km/l,114390,a partir de ~R$ 114.390,"Branco, Prata, Preto, Cinza, Azul","Porta-malas 521 L, versões Sense/Comfortline/Highline/Exclusive","Sedan compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 521 L. A partir de ~R$ 114.390.",imagens/volkswagen_virtus.jpg,imagens/volkswagen_virtus_02.jpg;imagens/volkswagen_virtus_03.jpg;imagens/volkswagen_virtus_04.jpg,https://commons.wikimedia.org/wiki/Category:Volkswagen_Virtus
6,Volkswagen,T-Cross,SUV,2026,1.0 TSI / 1.4 TSI turbo,116 / 150,Automático 6,~10–13 km/l,129990,a partir de ~R$ 129.990,"Branco, Prata, Preto, Cinza, Vermelho","Porta-malas 373 L, versões Sense/Comfortline/Highline/Extreme","SUV compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 373 L. A partir de ~R$ 129.990.",imagens/volkswagen_t_cross.jpg,imagens/volkswagen_t_cross_02.jpg;imagens/volkswagen_t_cross_03.jpg;imagens/volkswagen_t_cross_04.jpg,https://commons.wikimedia.org/wiki/Category:Volkswagen_T-Cross
7,Chevrolet,Onix,Hatch,2026,1.0 aspirado / 1.0 turbo,82 / 116,Manual 6 ou Automático 6,~12–15 km/l,99990,a partir de R$ 99.990,"Branco, Prata, Preto, Cinza, Vermelho, Azul","Porta-malas 275 L, versões 1.0/LT/Premier/RS","Hatch compacto. Motores 1.0 aspirado (82 cv) e 1.0 turbo (116 cv), câmbio manual ou automático de 6 marchas. Porta-malas de 275 L. A partir de R$ 99.990.",imagens/chevrolet_onix.jpg,imagens/chevrolet_onix_02.jpg;imagens/chevrolet_onix_03.jpg;imagens/chevrolet_onix_04.jpg,https://commons.wikimedia.org/wiki/Category:Chevrolet_Onix
8,Chevrolet,Tracker,SUV,2026,1.0 turbo / 1.2 turbo,116 / 141,Automático 6,~10–13 km/l,129000,a partir de ~R$ 129.000,"Branco, Prata, Preto, Cinza, Vermelho","Porta-malas 393 L, versões LT/LTZ/Premier/RS","SUV compacto. Motores 1.0 turbo (116 cv) e 1.2 turbo (141 cv), automático de 6 marchas. Porta-malas de 393 L. A partir de ~R$ 129.000.",imagens/chevrolet_tracker.jpg,imagens/chevrolet_tracker_02.jpg;imagens/chevrolet_tracker_03.jpg;imagens/chevrolet_tracker_04.jpg,https://commons.wikimedia.org/wiki/Category:Chevrolet_Tracker_(4th_generation)
9,Chevrolet,Montana,Picape,2026,1.2 turbo,133,Automático 6,~10–13 km/l,128000,referência (~R$ 128.000),"Branco, Prata, Preto, Cinza, Vermelho","Caçamba ~874 L, versões LT/LTZ/Premier/RS","Picape compacta. Motor 1.2 turbo de 133 cv, automático de 6 marchas. Boa capacidade de caçamba. Preço de referência a partir de ~R$ 128.000.",imagens/chevrolet_montana.jpg,imagens/chevrolet_montana_02.jpg;imagens/chevrolet_montana_03.jpg;imagens/chevrolet_montana_04.jpg,https://commons.wikimedia.org/wiki/Category:Chevrolet_Montana
10,Hyundai,HB20,Hatch,2026,1.0 aspirado / 1.0 turbo,80 / 120,Manual 5 ou Automático 6,~12–15 km/l,95790,R$ 95.790 a R$ 129.650,"Branco, Prata, Preto, Cinza, Azul, Vermelho","Porta-malas 300 L, versões Sense/Comfort/Limited/Platinum","Hatch compacto. Motores 1.0 aspirado (80 cv) e 1.0 turbo (120 cv), manual ou automático de 6 marchas. Porta-malas de 300 L. Preço de R$ 95.790 a R$ 129.650.",imagens/hyundai_hb20.jpg,imagens/hyundai_hb20_02.jpg,https://commons.wikimedia.org/wiki/Category:Hyundai_HB20_(BR2)
11,Hyundai,HB20S,Sedan,2026,1.0 aspirado / 1.0 turbo,80 / 120,Manual 5 ou Automático 6,~12–15 km/l,104290,R$ 104.290 a R$ 135.310,"Branco, Prata, Preto, Cinza, Azul","Porta-malas 475 L, versões Sense/Comfort/Limited/Platinum",Sedan compacto. Mesmas motorizações do HB20: 1.0 aspirado (80 cv) e 1.0 turbo (120 cv). Porta-malas de 475 L. Preço de R$ 104.290 a R$ 135.310.,imagens/hyundai_hb20s.jpg,imagens/hyundai_hb20s_02.jpg,https://commons.wikimedia.org/wiki/Category:Hyundai_HB20
12,Hyundai,Creta,SUV,2026,1.0 turbo (e 1.6/2.0 conforme versão),120 (1.0 turbo),Automático 6,~10–13 km/l,149620,R$ 149.620 a R$ 198.120,"Branco, Prata, Preto, Cinza, Vermelho","Bluelink de série, versões Comfort/Limited/Platinum/N Line/Ultimate","SUV compacto. Motor 1.0 turbo de 120 cv (opções 1.6/2.0 por versão), automático de 6 marchas. Bluelink de série. Preço de R$ 149.620 a R$ 198.120.",imagens/hyundai_creta.jpg,imagens/hyundai_creta_02.jpg;imagens/hyundai_creta_03.jpg;imagens/hyundai_creta_04.jpg,https://commons.wikimedia.org/wiki/Category:Hyundai_Creta_(SU2)
13,BYD,Dolphin,Hatch elétrico,2026,Elétrico (bateria BYD Blade),150–177,Automático (redução única),Autonomia ~291–405 km (NEDC conforme versão),149800,a partir de ~R$ 149.800 (SE R$ 159.990),"Branco, Prata, Cinza, Azul","Carga rápida DC, multimídia rotativa, ADAS","Hatch 100% elétrico. Motor elétrico de 150 a 177 cv conforme versão, autonomia de ~291 a 405 km (NEDC). Carga rápida em corrente contínua. A partir de ~R$ 149.800.",imagens/byd_dolphin.jpg,imagens/byd_dolphin_02.jpg;imagens/byd_dolphin_03.jpg;imagens/byd_dolphin_04.jpg,https://commons.wikimedia.org/wiki/Category:BYD_Dolphin
14,BYD,Yuan Plus,SUV elétrico,2026,Elétrico (AWD na linha 2027),204 (204 cv) / 449 (AWD 2027),Automático (redução única),Autonomia ~510–530 km (NEDC),269990,a partir de R$ 269.990,"Branco, Prata, Cinza, Azul, Verde","Tração integral (2027), teto panorâmico, ADAS",SUV compacto 100% elétrico (também conhecido como Atto 3). Versão 2027 com tração integral e 449 cv; autonomia de até ~530 km (NEDC). A partir de R$ 269.990.,imagens/byd_yuan_plus.jpg,imagens/byd_yuan_plus_02.jpg;imagens/byd_yuan_plus_03.jpg;imagens/byd_yuan_plus_04.jpg,https://commons.wikimedia.org/wiki/Category:BYD_Yuan_Plus
15,BYD,Seal,Sedan elétrico,2026,Elétrico (RWD ou AWD),~313 (RWD) / ~530 (AWD),Automático (redução única),Autonomia ~510–570 km (NEDC),300000,referência (~R$ 300.000),"Branco, Preto, Cinza, Azul","Plataforma e-Platform 3.0, ADAS, alto desempenho","Sedan esportivo 100% elétrico. Versões RWD (~313 cv) e AWD (~530 cv), autonomia de ~510 a 570 km (NEDC). Preço de referência a partir de ~R$ 300.000.",imagens/byd_seal.jpg,imagens/byd_seal_02.jpg;imagens/byd_seal_03.jpg;imagens/byd_seal_04.jpg,https://commons.wikimedia.org/wiki/Category:BYD_Seal
