id,montadora,modelo,slug,categoria,body_type,fuel_type,powertrain_type,ano,motor,potencia_cv,cambio,consumo,preco_a_partir_rs,preco_bucket,preco_obs,cores,itens,audience_tags,use_cases,selling_angles,tradeoffs,retrieval_keywords,official_url,official_model_year_observed,imagem_arquivo,imagens,foto_referencia,desc,retrieval_text
1,Toyota,Corolla,toyota-corolla,Sedan,sedan,hybrid_option,hybrid_available,2026,2.0 Flex (ou Híbrido 1.8),175 (2.0) / 122 (híbrido),Automático CVT,~11–14 km/l (híbrido mais econômico),160000,150k-220k,referência,"Branco, Prata, Preto, Cinza, Vermelho","Porta-malas 470 L, multimídia, pacote de assistências (TSS)","sedan medio; conforto; confiabilidade; familia; executivo","familias que querem sedan confortavel e porta-malas grande; uso executivo com foco em conforto e baixa friccao; clientes que valorizam seguranca e reputacao de revenda","sedan medio com versoes flex e hibrida; porta-malas de 470 L no pacote original; boa combinacao de conforto, confiabilidade e eficiencia na versao hibrida","nao entrega a altura de rodagem de um SUV; versoes hibridas tendem a ter preco maior que opcoes flex de entrada","sedan medio; corolla hibrido; porta malas 470 litros; CVT; Toyota Safety Sense; XEi; Altis Premium",https://www.toyota.com.br/modelos/corolla,2026,imagens/toyota_corolla.jpg,"imagens/toyota_corolla.jpg; imagens/toyota_corolla_02.jpg; imagens/toyota_corolla_03.jpg; imagens/toyota_corolla_04.jpg",https://commons.wikimedia.org/wiki/Category:Toyota_Corolla,"Sedan médio Toyota. Versões 2.0 flex de 175 cv e híbrida 1.8 com 122 cv combinados, câmbio CVT. Porta-malas de 470 L.","Toyota Corolla (2026) Categoria: Sedan. Carroceria normalizada: sedan. Propulsao: hybrid_available. Motor: 2.0 Flex (ou Híbrido 1.8). Potencia: 175 (2.0) / 122 (híbrido) cv. Cambio: Automático CVT. Consumo/autonomia: ~11–14 km/l (híbrido mais econômico). Preco do pacote: a partir de R$ 160.000 (referência). Cores: Branco, Prata, Preto, Cinza, Vermelho. Itens e versoes: Porta-malas 470 L, multimídia, pacote de assistências (TSS). Descricao do pacote: Sedan médio Toyota. Versões 2.0 flex de 175 cv e híbrida 1.8 com 122 cv combinados, câmbio CVT. Porta-malas de 470 L. Pontos enriquecidos por fonte oficial: A pagina oficial apresenta o Corolla 2026 com versoes XEi e Altis Premium. A pagina oficial destaca central multimidia de 10 polegadas, conjunto optico full LED e USB-C traseiro. Casos de uso recomendados: familias que querem sedan confortavel e porta-malas grande uso executivo com foco em conforto e baixa friccao clientes que valorizam seguranca e reputacao de revenda Trade-offs: nao entrega a altura de rodagem de um SUV versoes hibridas tendem a ter preco maior que opcoes flex de entrada Palavras-chave: sedan medio, corolla hibrido, porta malas 470 litros, CVT, Toyota Safety Sense, XEi, Altis Premium."
2,Toyota,Corolla Cross,toyota-corolla-cross,SUV,suv,hybrid_option,hybrid_available,2026,2.0 Flex (ou Híbrido 1.8),175 (2.0) / 122 (híbrido),Automático CVT,~10–14 km/l (híbrido mais econômico),170790,150k-220k,R$ 170.790 a R$ 215.990,"Branco, Prata, Preto, Cinza, Azul","Porta-malas 440 L, TSS, versões XR/XRE/XRX Hybrid","SUV medio; familia; conforto; hibrido; seguranca","familias que preferem posicao de dirigir mais alta; uso urbano e rodoviario com foco em conforto; cliente que quer SUV com opcao hibrida e reputacao Toyota","SUV medio derivado do Corolla com opcoes flex e hibrida; porta-malas de 440 L no pacote original; boa resposta para comparacoes entre SUV, economia e seguranca","preco de entrada acima de hatches e sedans compactos; o pacote deve deixar claro quando fala de preco 2026 vs pagina oficial atual 2027","SUV medio; Corolla Cross Hybrid; porta malas 440 litros; XRE; XRX; painel digital 12,3; CVT",https://www.toyota.com.br/modelos/corolla-cross,2027,imagens/toyota_corolla_cross.jpg,"imagens/toyota_corolla_cross.jpg; imagens/toyota_corolla_cross_02.jpg; imagens/toyota_corolla_cross_03.jpg; imagens/toyota_corolla_cross_04.jpg",https://commons.wikimedia.org/wiki/Category:Toyota_Corolla_Cross,"SUV médio derivado do Corolla. Motor 2.0 flex de 175 cv ou híbrido 1.8 de 122 cv, CVT. Porta-malas de 440 L. Preço de R$ 170.790 a R$ 215.990.","Toyota Corolla Cross (2026) Categoria: SUV. Carroceria normalizada: suv. Propulsao: hybrid_available. Motor: 2.0 Flex (ou Híbrido 1.8). Potencia: 175 (2.0) / 122 (híbrido) cv. Cambio: Automático CVT. Consumo/autonomia: ~10–14 km/l (híbrido mais econômico). Preco do pacote: a partir de R$ 170.790 (R$ 170.790 a R$ 215.990). Cores: Branco, Prata, Preto, Cinza, Azul. Itens e versoes: Porta-malas 440 L, TSS, versões XR/XRE/XRX Hybrid. Descricao do pacote: SUV médio derivado do Corolla. Motor 2.0 flex de 175 cv ou híbrido 1.8 de 122 cv, CVT. Porta-malas de 440 L. Preço de R$ 170.790 a R$ 215.990. Pontos enriquecidos por fonte oficial: A pagina oficial destaca versoes XRE e XRX para o Corolla Cross atual. A pagina oficial destaca painel digital de 12,3 polegadas, farois de LED e atributos de conforto/comodidade. Casos de uso recomendados: familias que preferem posicao de dirigir mais alta uso urbano e rodoviario com foco em conforto cliente que quer SUV com opcao hibrida e reputacao Toyota Trade-offs: preco de entrada acima de hatches e sedans compactos o pacote deve deixar claro quando fala de preco 2026 vs pagina oficial atual 2027 Palavras-chave: SUV medio, Corolla Cross Hybrid, porta malas 440 litros, XRE, XRX, painel digital 12,3, CVT."
3,Toyota,Hilux,toyota-hilux,Picape,picape,diesel,combustion,2026,2.8 Turbodiesel,204 (GR-S 224),Automático 6 / 4x4,"~9 km/l cidade, ~10 km/l estrada",242590,acima-220k,R$ 242.590 a R$ 334.890,"Branco, Prata, Preto, Cinza, Vermelho","Tração 4x4, reboque até 3.500 kg, versões SR/SRV/SRX/GR-S","picape; diesel; 4x4; trabalho; robustez","uso profissional com carga e pisos ruins; fazenda, estrada de terra e rotina fora do asfalto; cliente que precisa de tracao 4x4 e robustez","motor 2.8 turbodiesel com foco em torque; tracao 4x4 reduzida e bloqueio de diferencial nas versoes do pacote oficial; imagem de robustez e durabilidade","maior preco de entrada no catalogo; menos pratica para vagas pequenas e uso exclusivamente urbano","picape diesel; 2.8 turbodiesel; 4x4 reduzida; bloqueio diferencial; SRX; SRV; Hilux cabine dupla",https://www.toyota.com.br/modelos/hilux-cabine-dupla,2026,imagens/toyota_hilux.jpg,"imagens/toyota_hilux.jpg; imagens/toyota_hilux_02.jpg; imagens/toyota_hilux_03.jpg; imagens/toyota_hilux_04.jpg",https://commons.wikimedia.org/wiki/Category:Toyota_HiLux,"Picape média cabine dupla. Motor 2.8 turbodiesel de 204 cv (224 cv na GR-S), automático de 6 marchas e tração 4x4. Reboque de até 3.500 kg. Preço de R$ 242.590 a R$ 334.890.","Toyota Hilux (2026) Categoria: Picape. Carroceria normalizada: picape. Propulsao: combustion. Motor: 2.8 Turbodiesel. Potencia: 204 (GR-S 224) cv. Cambio: Automático 6 / 4x4. Consumo/autonomia: ~9 km/l cidade, ~10 km/l estrada. Preco do pacote: a partir de R$ 242.590 (R$ 242.590 a R$ 334.890). Cores: Branco, Prata, Preto, Cinza, Vermelho. Itens e versoes: Tração 4x4, reboque até 3.500 kg, versões SR/SRV/SRX/GR-S. Descricao do pacote: Picape média cabine dupla. Motor 2.8 turbodiesel de 204 cv (224 cv na GR-S), automático de 6 marchas e tração 4x4. Reboque de até 3.500 kg. Preço de R$ 242.590 a R$ 334.890. Pontos enriquecidos por fonte oficial: A pagina oficial da Hilux Cabine Dupla 2026 lista versoes STD Power Pack AT, SR AT, SRV AT, SRX AT e SRX Plus AT. A pagina oficial descreve motor 2.8L 16V turbo diesel S10, 204 cv, 50,9 kgf.m, transmissao automatica de 6 velocidades, tracao 4x4 reduzida e bloqueio do diferencial traseiro. Casos de uso recomendados: uso profissional com carga e pisos ruins fazenda, estrada de terra e rotina fora do asfalto cliente que precisa de tracao 4x4 e robustez Trade-offs: maior preco de entrada no catalogo menos pratica para vagas pequenas e uso exclusivamente urbano Palavras-chave: picape diesel, 2.8 turbodiesel, 4x4 reduzida, bloqueio diferencial, SRX, SRV, Hilux cabine dupla."
4,Volkswagen,Polo,volkswagen-polo,Hatch,hatch,flex,combustion,2026,1.0 MPI / 1.0 TSI / 1.4 TSI turbo,84 / 116 / 150,Manual 5 ou Automático 6,~11–14 km/l,107990,ate-110k,a partir de ~R$ 107.990,"Branco, Prata, Preto, Cinza, Vermelho, Azul","Multimídia VW Play, versões Sense/TSI/GTS","hatch; urbano; primeiro carro; tecnologia; economia","uso urbano diario com facil estacionamento; primeiro carro 0 km com boa lista de seguranca; cliente que quer hatch compacto com tecnologia embarcada","hatch compacto com motores MPI e TSI; porta-malas de 300 L indicado na pagina oficial; VW Play, painel digital e carregador por inducao em versoes","menor porta-malas que sedans e SUVs; espaco traseiro mais limitado para familia grande","hatch urbano; Polo TSI; porta malas 300 litros; VW Play; ESC; ISOFIX; XDS",https://www.vw.com.br/pt/carros/polo.html,current,imagens/volkswagen_polo.jpg,"imagens/volkswagen_polo.jpg; imagens/volkswagen_polo_02.jpg; imagens/volkswagen_polo_03.jpg; imagens/volkswagen_polo_04.jpg",https://commons.wikimedia.org/wiki/Category:Volkswagen_Polo_VI,"Hatch compacto. Motores 1.0 MPI (84 cv), 1.0 TSI turbo (116 cv) e 1.4 TSI turbo (150 cv), câmbio manual ou automático de 6 marchas. A partir de ~R$ 107.990.","Volkswagen Polo (2026) Categoria: Hatch. Carroceria normalizada: hatch. Propulsao: combustion. Motor: 1.0 MPI / 1.0 TSI / 1.4 TSI turbo. Potencia: 84 / 116 / 150 cv. Cambio: Manual 5 ou Automático 6. Consumo/autonomia: ~11–14 km/l. Preco do pacote: a partir de R$ 107.990 (a partir de ~R$ 107.990). Cores: Branco, Prata, Preto, Cinza, Vermelho, Azul. Itens e versoes: Multimídia VW Play, versões Sense/TSI/GTS. Descricao do pacote: Hatch compacto. Motores 1.0 MPI (84 cv), 1.0 TSI turbo (116 cv) e 1.4 TSI turbo (150 cv), câmbio manual ou automático de 6 marchas. A partir de ~R$ 107.990. Pontos enriquecidos por fonte oficial: A pagina oficial destaca motor MPI/TSI, potencia de 116 cv no TSI e porta-malas de 300 litros. A pagina oficial cita VW Play, painel digital, carregador por inducao e recursos de seguranca como ESC, ISOFIX e assistente de partida em rampa. Casos de uso recomendados: uso urbano diario com facil estacionamento primeiro carro 0 km com boa lista de seguranca cliente que quer hatch compacto com tecnologia embarcada Trade-offs: menor porta-malas que sedans e SUVs espaco traseiro mais limitado para familia grande Palavras-chave: hatch urbano, Polo TSI, porta malas 300 litros, VW Play, ESC, ISOFIX, XDS."
5,Volkswagen,Virtus,volkswagen-virtus,Sedan,sedan,flex,combustion,2026,1.0 TSI / 1.4 TSI turbo,116 / 150,Automático 6,~11–14 km/l,114390,110k-150k,a partir de ~R$ 114.390,"Branco, Prata, Preto, Cinza, Azul","Porta-malas 521 L, versões Sense/Comfortline/Highline/Exclusive","sedan compacto; porta-malas; familia; tecnologia; seguranca","familias que precisam de porta-malas grande; uso de aplicativo/viagens com bagagem; cliente que quer sedan compacto com motor turbo","porta-malas de 521 L indicado na pagina oficial; linha com motor TSI e potencia de ate 150 cv; bom candidato em comparacoes de espaco interno e bagagem","nao tem a altura de rodagem de um SUV; visual e dirigibilidade sao mais discretos que versoes esportivas de hatch","sedan compacto; porta malas 521 litros; Virtus TSI; Latin NCAP; Kessy; Climatronic",https://www.vw.com.br/pt/carros/virtus.html,current,imagens/volkswagen_virtus.jpg,"imagens/volkswagen_virtus.jpg; imagens/volkswagen_virtus_02.jpg; imagens/volkswagen_virtus_03.jpg; imagens/volkswagen_virtus_04.jpg",https://commons.wikimedia.org/wiki/Category:Volkswagen_Virtus,"Sedan compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 521 L. A partir de ~R$ 114.390.","Volkswagen Virtus (2026) Categoria: Sedan. Carroceria normalizada: sedan. Propulsao: combustion. Motor: 1.0 TSI / 1.4 TSI turbo. Potencia: 116 / 150 cv. Cambio: Automático 6. Consumo/autonomia: ~11–14 km/l. Preco do pacote: a partir de R$ 114.390 (a partir de ~R$ 114.390). Cores: Branco, Prata, Preto, Cinza, Azul. Itens e versoes: Porta-malas 521 L, versões Sense/Comfortline/Highline/Exclusive. Descricao do pacote: Sedan compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 521 L. A partir de ~R$ 114.390. Pontos enriquecidos por fonte oficial: A pagina oficial informa motor TSI/200 TSI/250 TSI, potencia de ate 150 cv e porta-malas de 521 litros. A pagina oficial destaca nota maxima em seguranca no Latin NCAP para o Virtus. Casos de uso recomendados: familias que precisam de porta-malas grande uso de aplicativo/viagens com bagagem cliente que quer sedan compacto com motor turbo Trade-offs: nao tem a altura de rodagem de um SUV visual e dirigibilidade sao mais discretos que versoes esportivas de hatch Palavras-chave: sedan compacto, porta malas 521 litros, Virtus TSI, Latin NCAP, Kessy, Climatronic."
6,Volkswagen,T-Cross,volkswagen-t-cross,SUV,suv,flex,combustion,2026,1.0 TSI / 1.4 TSI turbo,116 / 150,Automático 6,~10–13 km/l,129990,110k-150k,a partir de ~R$ 129.990,"Branco, Prata, Preto, Cinza, Vermelho","Porta-malas 373 L, versões Sense/Comfortline/Highline/Extreme","SUV compacto; familia; seguranca; tecnologia; urbano","familia pequena que quer SUV compacto; uso urbano com porta-malas versatil; cliente que valoriza seguranca ativa e conectividade","SUV compacto com motores 200 TSI e 250 TSI; porta-malas flexivel entre 373 L e 420 L conforme metodo VDA na pagina oficial; forte argumento de seguranca com 5 estrelas Latin NCAP","preco acima de hatches compactos; porta-malas pode variar conforme posicao/configuracao dos bancos","SUV compacto; T-Cross 200 TSI; T-Cross 250 TSI; porta malas 373 420; Latin NCAP; VW Play Connect; Lane Assist",https://www.vw.com.br/pt/carros/t-cross.html,current,imagens/volkswagen_t_cross.jpg,"imagens/volkswagen_t_cross.jpg; imagens/volkswagen_t_cross_02.jpg; imagens/volkswagen_t_cross_03.jpg; imagens/volkswagen_t_cross_04.jpg",https://commons.wikimedia.org/wiki/Category:Volkswagen_T-Cross,"SUV compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 373 L. A partir de ~R$ 129.990.","Volkswagen T-Cross (2026) Categoria: SUV. Carroceria normalizada: suv. Propulsao: combustion. Motor: 1.0 TSI / 1.4 TSI turbo. Potencia: 116 / 150 cv. Cambio: Automático 6. Consumo/autonomia: ~10–13 km/l. Preco do pacote: a partir de R$ 129.990 (a partir de ~R$ 129.990). Cores: Branco, Prata, Preto, Cinza, Vermelho. Itens e versoes: Porta-malas 373 L, versões Sense/Comfortline/Highline/Extreme. Descricao do pacote: SUV compacto. Motores 1.0 TSI (116 cv) e 1.4 TSI (150 cv), automático de 6 marchas. Porta-malas de 373 L. A partir de ~R$ 129.990. Pontos enriquecidos por fonte oficial: A pagina oficial informa motores 200 TSI e 250 TSI e porta-malas de 373 L a 420 L (VDA). A pagina oficial destaca 5 estrelas no Latin NCAP, 6 airbags, alerta de trafego traseiro, detector de ponto cego e assistente de faixa. Casos de uso recomendados: familia pequena que quer SUV compacto uso urbano com porta-malas versatil cliente que valoriza seguranca ativa e conectividade Trade-offs: preco acima de hatches compactos porta-malas pode variar conforme posicao/configuracao dos bancos Palavras-chave: SUV compacto, T-Cross 200 TSI, T-Cross 250 TSI, porta malas 373 420, Latin NCAP, VW Play Connect, Lane Assist."
7,Chevrolet,Onix,chevrolet-onix,Hatch,hatch,flex,combustion,2026,1.0 aspirado / 1.0 turbo,82 / 116,Manual 6 ou Automático 6,~12–15 km/l,99990,ate-110k,a partir de R$ 99.990,"Branco, Prata, Preto, Cinza, Vermelho, Azul","Porta-malas 275 L, versões 1.0/LT/Premier/RS","hatch; urbano; conectividade; custo-beneficio; seguranca","uso urbano diario com bom custo-beneficio; cliente que quer conectividade e multimidia moderna; primeiro carro ou upgrade de compacto","hatch compacto com versoes aspiradas e turbo no pacote; porta-malas de 303 L na pagina oficial atual; forte argumento de conectividade com MyLink, Wi-Fi nativo e OnStar","pagina oficial atual traz linha 2027 e pode divergir do dataset 2026; menos espaco de porta-malas que sedans como Virtus e HB20S","hatch compacto; Onix turbo; MyLink 11; Wi-Fi nativo; OnStar; porta malas 303 litros; 6 airbags",https://www.chevrolet.com.br/carros/novo-onix,2027,imagens/chevrolet_onix.jpg,"imagens/chevrolet_onix.jpg; imagens/chevrolet_onix_02.jpg; imagens/chevrolet_onix_03.jpg; imagens/chevrolet_onix_04.jpg",https://commons.wikimedia.org/wiki/Category:Chevrolet_Onix,"Hatch compacto. Motores 1.0 aspirado (82 cv) e 1.0 turbo (116 cv), câmbio manual ou automático de 6 marchas. Porta-malas de 275 L. A partir de R$ 99.990.","Chevrolet Onix (2026) Categoria: Hatch. Carroceria normalizada: hatch. Propulsao: combustion. Motor: 1.0 aspirado / 1.0 turbo. Potencia: 82 / 116 cv. Cambio: Manual 6 ou Automático 6. Consumo/autonomia: ~12–15 km/l. Preco do pacote: a partir de R$ 99.990 (a partir de R$ 99.990). Cores: Branco, Prata, Preto, Cinza, Vermelho, Azul. Itens e versoes: Porta-malas 275 L, versões 1.0/LT/Premier/RS. Descricao do pacote: Hatch compacto. Motores 1.0 aspirado (82 cv) e 1.0 turbo (116 cv), câmbio manual ou automático de 6 marchas. Porta-malas de 275 L. A partir de R$ 99.990. Pontos enriquecidos por fonte oficial: A pagina oficial atual informa preco a partir de R$ 99.990 para Onix 2027, motor turbo de 115 cv e 16,8 kgfm, MyLink de 11 polegadas e OnStar. A pagina oficial destaca porta-malas de 303 litros, 6 airbags, controle de estabilidade, alerta de ponto cego e monitoramento de pressao dos pneus. Casos de uso recomendados: uso urbano diario com bom custo-beneficio cliente que quer conectividade e multimidia moderna primeiro carro ou upgrade de compacto Trade-offs: pagina oficial atual traz linha 2027 e pode divergir do dataset 2026 menos espaco de porta-malas que sedans como Virtus e HB20S Palavras-chave: hatch compacto, Onix turbo, MyLink 11, Wi-Fi nativo, OnStar, porta malas 303 litros, 6 airbags."
